7E0 02 10 01 00 00 00 00 00                       7E8 02 50 01 00 00 00 00 00   ;
7E0 02 3E 80 00 00 00 00 00                       7E8 02 7e 80 00 00 00 00 00   ;
7E0 02 10 01 00 00 00 00 00                       7E8 02 50 01 00 00 00 00 00   ;
7E0 02 3E 80 00 00 00 00 00                       7E8 02 7e 80 00 00 00 00 00   ;
7E0 02 10 01 00 00 00 00 00                       7E8 02 50 01 00 00 00 00 00   ;7
7E0 02 3E 80 00 00 00 00 00                       7E8 02 7e 80 00 00 00 00 00   ;7
7E0 03 22 F1 90 00 00 00 00                       7E8 03 62 F1 90 00 00 00 00   ;7
7E0 10 14 2E F1 90 FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF                    7E8 10 54 2E F1 90 FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF ;7
7E0 02 10 01 00 00 00 00 00                       7E8 02 50 01 00 00 00 00 00   ;7
7E0 02 3E 80 00 00 00 00 00                       7E8 02 7e 80 00 00 00 00 00   ;7
7E0 06 2F 30 01 03 01 FF 55                       7E8 06 6f 30 01 03 01 FF 55   ;7
7E0 02 10 01 00 00 00 00 00                       7E8 02 50 01 00 00 00 00 00   ;7
7E0 02 3E 80 00 00 00 00 00                       7E8 02 7e 80 00 00 00 00 00   ;7
7E0 06 2F 30 01 03 01 00 55                       7E8 06 6f 30 01 03 01 00 55   ;7
7E0 02 10 01 00 00 00 00 00                       7E8 02 50 01 00 00 00 00 00   ;7
7E0 02 3E 80 00 00 00 00 00                       7E8 02 7e 80 00 00 00 00 00   ;7
7E0 05 2F 30 01 03 02 55 55                       7E8 05 6f 30 01 03 02 55 55   ;7
7E0 02 10 01 00 00 00 00 00                       7E8 02 50 01 00 00 00 00 00   ;7
7E0 02 3E 80 00 00 00 00 00                       7E8 02 7e 80 00 00 00 00 00   ;7
7E0 05 2F 30 01 03 03 55 55                       7E8 05 6f 30 01 03 03 55 55   ;7
7E0 02 10 01 00 00 00 00 00                       7E8 02 50 01 00 00 00 00 00   ;7
7E0 02 3E 80 00 00 00 00 00                       7E8 02 7e 80 00 00 00 00 00   ;7
7E0 05 2F 30 01 03 04 55 55                       7E8 05 6f 30 01 03 04 55 55   ;7
